X,Y,School ID,System ID,School Name,System,County,Address,City,zip,phone,Locale,Charter
-83.382889,33.941521,3056,629,BARROW ELEMENTARY SCHOOL,CLARKE COUNTY,CLARKE COUNTY,100 PINECREST DR,ATHENS,30605,7065432676,City: Midsize,No
-84.847527,33.92757,2352,710,HERSCHEL JONES MIDDLE SCHOOL,PAULDING COUNTY,PAULDING COUNTY,100 STADIUM DR,DALLAS,30132,7704438024,Suburb: Large,No
-85.174301,34.225246,6001,657,FLOYD COUNTY SCHOOLS COLLEGE AND CAREER ACADEMY,FLOYD COUNTY,FLOYD COUNTY,100 VOCATIONAL DR SW,ROME,30161,7062361860,City: Small,Yes
-81.156891,32.106571,3056,625,GROVES HIGH SCHOOL,CHATHAM COUNTY,CHATHAM COUNTY,100 WHEATHILL RD,GARDEN CITY,31408,9123952520,Suburb: Midsize,No
-84.475197,33.375938,1050,656,WHITEWATER HIGH SCHOOL,FAYETTE COUNTY,FAYETTE COUNTY,100 WILDCAT WAY,FAYETTEVILLE,30215,7704603935,Rural: Fringe,No
-83.183891,33.563107,1010,666,ANITA WHITE CARSON MIDDLE SCHOOL,GREENE COUNTY,GREENE COUNTY,1010 S MAIN ST,GREENSBORO,30642,7064533308,Rural: Fringe,No
-82.846237,34.084347,1052,652,FALLING CREEK ELEMENTARY SCHOOL,ELBERT COUNTY,ELBERT COUNTY,1019 FALLING CREEK DR,ELBERTON,30635,7062134700,Rural: Fringe,No
-83.228294,33.018948,1940,605,MIDWAY ELEMENTARY SCHOOL,BALDWIN COUNTY,BALDWIN COUNTY,101 CARL VINSON RD SE,MILLEDGEVILLE,31061,4784572440,Rural: Fringe,No
-84.544556,33.380951,1860,656,OAK GROVE ELEMENTARY SCHOOL,FAYETTE COUNTY,FAYETTE COUNTY,101 CROSSTOWN DR,PEACHTREE CITY,30269,7706313260,Rural: Fringe,No
-83.600532,32.548832,1050,676,BONAIRE ELEMENTARY SCHOOL,HOUSTON COUNTY,HOUSTON COUNTY,101 ELM ST,BONAIRE,31005,4789297826,Suburb: Small,No
-81.300522,32.128334,4052,625,BLOOMINGDALE ELEMENTARY SCHOOL,CHATHAM COUNTY,CHATHAM COUNTY,101 E MAIN ST,BLOOMINGDALE,31302,9123953680,Town: Fringe,No
-84.500503,33.758369,3059,761,FAIN ELEMENTARY SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,101 HEMPHILL SCHOOL RD NW,ATLANTA,30331,4048028600,City: Large,No
-84.314812,32.884453,3950,745,UPSON-LEE MIDDLE SCHOOL,THOMASTON-UPSON COUNTY,UPSON COUNTY,101 HOLSTON DR,THOMASTON,30286,7066476256,Town: Distant,No
-84.20034,32.113243,2050,729,AMERICUS SUMTER COUNTY HIGH NORTH,SUMTER COUNTY,SUMTER COUNTY,101 INDUSTRIAL BLVD,AMERICUS,31719,2299245914,Rural: Fringe,No
-85.236679,33.557785,1120,622,KIDSPEACE,CARROLL COUNTY,CARROLL COUNTY,101 KIDSPEACE DR,BOWDON,30108,7704377200,Rural: Distant,No
-83.534088,32.887684,1020,684,MATTIE WELLS ELEMENTARY SCHOOL,JONES COUNTY,JONES COUNTY,101 MATTIE WELLS DR,MACON,31217,4787425959,Rural: Fringe,No
-83.635391,32.5966,4054,676,RUSSELL ELEMENTARY SCHOOL,HOUSTON COUNTY,HOUSTON COUNTY,101 PATRIOT WAY,WARNER ROBINS,31088,4789297830,City: Small,No
-83.63871,32.61525,5050,676,MILLER ELEMENTARY SCHOOL,HOUSTON COUNTY,HOUSTON COUNTY,101 PINE VALLEY DR,WARNER ROBINS,31088,4789297814,City: Small,No
-84.952423,34.50946,3050,765,CALHOUN PRIMARY SCHOOL,CALHOUN CITY,GORDON COUNTY,101 RAYMOND KING DR,CALHOUN,30701,7066298323,Town: Distant,No
-84.952423,34.50946,4050,765,CALHOUN ELEMENTARY SCHOOL,CALHOUN CITY,GORDON COUNTY,101 RAYMOND KING DR,CALHOUN,30701,7066297130,Town: Distant,No
-83.367073,30.9912,3050,692,HAHIRA MIDDLE SCHOOL,LOWNDES COUNTY,LOWNDES COUNTY,101 S NELSON ST,HAHIRA,31632,2297942838,Rural: Distant,No
-84.985825,33.06488,1910,741,GARDNER-NEWMAN MIDDLE SCHOOL,TROUP COUNTY,TROUP COUNTY,101 S SHANNON DR,LAGRANGE,30241,7068831535,Town: Distant,No
-84.303764,34.027878,1970,660,NORTHWOOD ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,10200 WOOTEN RD,ROSWELL,30076,7705526390,Suburb: Large,No
-84.453896,34.619766,1070,661,CLEAR CREEK MIDDLE SCHOOL,GILMER COUNTY,GILMER COUNTY,1020 CLEAR CREEK RD,ELLIJAY,30536,7062765150,Rural: Distant,No
-82.845505,31.496469,3080,634,GEORGE WASHINGTON CARVER FRESHMAN CAMPUS,COFFEE COUNTY,COFFEE COUNTY,1020 GASKIN AVE S,DOUGLAS,31533,9123841342,Town: Remote,No
-85.149811,34.28709,2930,785,ROME MIDDLE SCHOOL,ROME CITY,FLOYD COUNTY,1020 VETERANS MEMORIAL HWY NE,ROME,30161,7062354695,Rural: Fringe,No
-84.190666,34.029251,4910,660,MEDLOCK BRIDGE ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,10215 MEDLOCK BRIDGE PKWY,ALPHARETTA,30022,7706232980,Suburb: Large,No
-85.018448,33.035042,2070,741,BRADFIELD CENTER - AULT ACADEMY,TROUP COUNTY,TROUP COUNTY,1022 E DEPOT ST,LAGRANGE,30241,7068841717,Town: Distant,No
-83.835594,33.577725,2950,707,EASTSIDE HIGH SCHOOL,NEWTON COUNTY,NEWTON COUNTY,10245 BY PASS RD,COVINGTON,30014,7707842920,Rural: Fringe,No
-84.081383,33.942074,4950,667,KANOHEDA ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,1025 HERRINGTON RD,LAWRENCEVILLE,30044,7706824221,Suburb: Large,No
-83.515297,30.93445,3930,614,NORTH BROOKS ELEMENTARY SCHOOL,BROOKS COUNTY,BROOKS COUNTY,10295 COFFEE RD,MORVEN,31638,2297752414,Rural: Distant,No
-84.927521,34.758381,1052,755,EASTSIDE ELEMENTARY SCHOOL,WHITFIELD COUNTY,WHITFIELD COUNTY,102 HILL RD,DALTON,30721,7062783074,Suburb: Small,No
-82.883156,31.622805,1910,634,BROXTON-MARY HAYES ELEMENTARY,COFFEE COUNTY,COFFEE COUNTY,102 LITTLE AVE W,BROXTON,31519,9123592391,Rural: Distant,No
-81.915802,32.164825,2050,654,CLAXTON HIGH SCHOOL,EVANS COUNTY,EVANS COUNTY,102 N CLARK ST,CLAXTON,30417,9127393993,Town: Distant,No
-84.357269,34.248741,5052,628,MACEDONIA ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,10370 E CHEROKEE DR,CANTON,30115,7704793429,Rural: Fringe,No
-84.422058,33.748913,4063,761,M. A. JONES ELEMENTARY SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,1040 FAIR ST SW,ATLANTA,30314,4048023900,City: Large,No
-84.146088,33.763554,2930,644,SHADOW ROCK ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,1040 KING WAY DR,LITHONIA,30058,6786763902,Suburb: Large,No
-84.523415,33.853741,2062,633,KING SPRINGS ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,1041 REED RD SE,SMYRNA,30082,6788426944,Suburb: Large,No
-84.978233,32.50629,6502,706,DANIEL MIDDLE ALTERNATIVE SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,1042 MANCHESTER EXPY,COLUMBUS,31904,7067482590,City: Midsize,No
-84.353577,33.746529,2050,761,TECH HIGH SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,1043 MEMORIAL DR SE,ATLANTA,30316,6789045091,City: Large,Yes
-84.233627,34.03611,1800,660,DOLVIN ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,10495 JONES BRIDGE RD,ALPHARETTA,30022,7707407020,Suburb: Large,No
-84.35463,33.71563,1208,761,IMAGINE WESLEY INTERNATIONAL ACADEMY CHARTER FACIL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,1049 CUSTER AVE SE,ATLANTA,30316,6789049137,City: Large,Yes
-81.620651,32.141609,2860,615,BRYAN COUNTY ELEMENTARY SCHOOL,BRYAN COUNTY,BRYAN COUNTY,104 ASH BRANCH RD,PEMBROKE,31321,9126265033,Rural: Distant,No
-83.45446,31.952625,1950,756,WILCOX COUNTY ELEMENTARY SCHOOL,WILCOX COUNTY,WILCOX COUNTY,104 GORDON ST,ROCHELLE,31079,2293657858,Rural: Remote,No
-84.534523,34.191792,2030,628,LIBERTY ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,10500 BELLS FERRY RD,CANTON,30114,7703456411,Rural: Fringe,No
-83.607643,32.611435,1020,676,LINWOOD ELEMENTARY SCHOOL,HOUSTON COUNTY,HOUSTON COUNTY,1050 EDUCATION WAY,WARNER ROBINS,31098,4789296361,City: Small,No
-84.420189,33.918636,3056,660,HEARDS FERRY ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,1050 HEARDS FERRY RD NW,ATLANTA,30328,7709336190,City: Small,No
-84.36824,34.038101,1067,660,ROSWELL NORTH ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,10525 WOODSTOCK RD,ROSWELL,30075,7705526320,Suburb: Large,No
-84.352867,33.796761,1664,761,MORNINGSIDE ELEMENTARY SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,1053 E ROCK SPRINGS RD NE,ATLANTA,30306,4048028950,City: Large,No
-84.536057,34.193565,2050,628,FREEDOM MIDDLE SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,10550 BELLS FERRY RD,CANTON,30114,7703454100,Rural: Fringe,No
-81.992905,33.088905,2880,617,BURKE COUNTY HIGH SCHOOL,BURKE COUNTY,BURKE COUNTY,1057 BURKE VETERANS PKWY,WAYNESBORO,30830,7065546691,Rural: Fringe,No
-84.927422,34.147755,1070,608,EUHARLEE ELEMENTARY SCHOOL,BARTOW COUNTY,BARTOW COUNTY,1058 EUHARLEE RD,EUHARLEE,30145,7706065872,Town: Distant,No
-85.293968,34.869678,2110,769,GORDON LEE HIGH SCHOOL,CHICKAMAUGA CITY,WALKER COUNTY,105 LEE CIR,CHICKAMAUGA,30707,7063823100,Suburb: Large,No
-84.590569,34.130009,1890,628,BOSTON ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,105 OTHELLO DR,WOODSTOCK,30189,7709246260,Suburb: Large,No
-84.53228,33.948749,2052,781,PARK STREET ELEMENTARY SCHOOL,MARIETTA CITY,COBB COUNTY,105 PARK ST SE,MARIETTA,30060,7704293180,City: Small,Yes
-84.927414,34.147484,1010,608,WOODLAND MIDDLE SCHOOL AT EUHARLEE,BARTOW COUNTY,BARTOW COUNTY,1061 EUHARLEE RD,EUHARLEE,30145,7706065871,Town: Distant,No
-84.181824,34.04063,2030,660,NORTHVIEW HIGH SCHOOL,FULTON COUNTY,FULTON COUNTY,10625 PARSONS RD,DULUTH,30097,7704973828,Suburb: Large,No
-84.016388,34.367275,1030,642,KILOUGH ELEMENTARY SCHOOL,DAWSON COUNTY,DAWSON COUNTY,1063 KILOUGH CHURCH RD,DAWSONVILLE,30534,7062168595,Rural: Fringe,No
-84.281883,34.04063,3840,660,HAYNES BRIDGE MIDDLE SCHOOL,FULTON COUNTY,FULTON COUNTY,10665 HAYNES BRIDGE RD,ALPHARETTA,30022,7707407030,Suburb: Large,No
-84.813667,33.961609,2010,710,LENA MAE MOSES MIDDLE SCHOOL,PAULDING COUNTY,PAULDING COUNTY,1066 OLD COUNTY FARM RD,DALLAS,30132,7704438727,Rural: Fringe,No
-83.436493,32.447437,1090,612,MIDDLE GEORGIA WILDERNESS INSTITUTE DJJ FACILITY,BLECKLEY COUNTY,BLECKLEY COUNTY,1069 RED DOG FARM RD,COCHRAN,31014,4789340901,Rural: Distant,No
-83.723022,33.99601,6005,607,ALTERNATIVE SCHOOL,BARROW COUNTY,BARROW COUNTY,106 CHURCH ST,WINDER,30680,7708672900,Town: Fringe,No
-82.737488,31.611988,3052,634,WEST GREEN ELEMENTARY SCHOOL,COFFEE COUNTY,COFFEE COUNTY,106 SCHOOL CIRCLE RD,WEST GREEN,31567,9123842032,Rural: Distant,No
-84.363426,34.040001,1840,660,CRABAPPLE MIDDLE SCHOOL,FULTON COUNTY,FULTON COUNTY,10700 CRABAPPLE RD,ROSWELL,30075,7705524520,Suburb: Large,No
-82.313164,33.457642,1830,636,HARLEM HIGH SCHOOL,COLUMBIA COUNTY,COLUMBIA COUNTY,1070 APPLING HARLEM RD,HARLEM,30814,7065565980,Rural: Distant,No
-84.22599,33.809471,3059,644,JOLLY ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,1070 OTELLO AVE,CLARKSTON,30021,6786765802,Suburb: Large,No
-84.366829,33.462269,1990,631,HAWTHORNE ELEMENTARY SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,10750 ENGLISH RD,HAMPTON,30228,7704727669,Rural: Fringe,No
-84.014664,33.903774,1940,667,CRAIG ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,1075 ROCKY RD,LAWRENCEVILLE,30044,7709785560,Suburb: Large,No
-84.130096,34.04369,4020,660,RIVER TRAIL MIDDLE SCHOOL,FULTON COUNTY,FULTON COUNTY,10795 ROGERS CIR,DULUTH,30097,7704973860,Rural: Fringe,No
-82.028099,31.197079,1050,613,BRANTLEY COUNTY HIGH SCHOOL,BRANTLEY COUNTY,BRANTLEY COUNTY,10804 HIGHWAY 82,NAHUNTA,31553,9124625121,Rural: Remote,No
-83.522881,33.876366,1050,708,NORTH OCONEE HIGH SCHOOL,OCONEE COUNTY,OCONEE COUNTY,1081 ROCKY BRANCH RD,BOGART,30622,7067697760,Rural: Fringe,No
-84.128464,34.045479,3980,660,SHAKERAG ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,10885 ROGERS CIR,JOHNS CREEK,30097,7704973880,Rural: Fringe,No
-82.854668,34.131371,1050,652,BEAVERDAM ELEMENTARY SCHOOL,ELBERT COUNTY,ELBERT COUNTY,1088 RUCKERSVILLE RD,ELBERTON,30635,7062134301,Rural: Fringe,No
-83.423584,34.827061,1000,719,RABUN COUNTY MIDDLE SCHOOL,RABUN COUNTY,RABUN COUNTY,108 WILDCAT HILL DR,TIGER,30576,7067825470,Rural: Remote,No
-84.357239,33.452793,2050,631,KEMP PRIMARY,CLAYTON COUNTY,CLAYTON COUNTY,1090 MCDONOUGH RD,HAMPTON,30228,6786104300,Suburb: Large,No
-84.398262,33.72488,5664,761,PARKS MIDDLE SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,1090 WINDSOR ST SW,ATLANTA,30310,4048026400,City: Large,No
-84.748207,34.341141,1060,608,PINE LOG ELEMENTARY,BARTOW COUNTY,BARTOW COUNTY,1095 CASS PINE LOG RD,RYDAL,30171,7706065864,Rural: Distant,No
-82.116303,33.57299,1930,636,RIVERSIDE MIDDLE SCHOOL,COLUMBIA COUNTY,COLUMBIA COUNTY,1095 FURYS FERRY RD,EVANS,30809,7068683712,Rural: Fringe,No
-83.676392,33.795361,1930,747,CARVER MIDDLE SCHOOL,WALTON COUNTY,WALTON COUNTY,1095 GOOD HOPE RD,MONROE,30655,7702676000,Rural: Fringe,No
-84.355698,33.45446,3050,631,KEMP ELEM SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,10990 FOLSOM RD,HAMPTON,30228,7704732870,Suburb: Large,No
-82.025795,31.197403,1940,613,BRANTLEY COUNTY MIDDLE SCHOOL,BRANTLEY COUNTY,BRANTLEY COUNTY,10990 HIGHWAY 82,NAHUNTA,31553,9124627092,Rural: Remote,No
-82.72496,33.734569,2050,757,WASHINGTON-WILKES ELEMENTARY SCHOOL,WILKES COUNTY,WILKES COUNTY,109 EAST ST,WASHINGTON,30673,7066787124,Town: Distant,No
-84.229317,33.543308,1950,675,PATRICK HENRY HIGH SCHOOL,HENRY COUNTY,HENRY COUNTY,109 S LEE ST,STOCKBRIDGE,30281,7705076414,Suburb: Large,No
-84.289589,33.390018,2050,675,HAMPTON ELEMENTARY SCHOOL,HENRY COUNTY,HENRY COUNTY,10 CENTRAL AVE,HAMPTON,30228,7709464345,Suburb: Large,No
